,go_id,parent_id
0,GO:0000148,GO:1990234
1,GO:0000148,GO:0098797
2,GO:0005886,GO:0016020
3,GO:0097524,GO:0005886
4,GO:0001533,GO:0005886
5,GO:0042383,GO:0005886
6,GO:0120001,GO:0005886
7,GO:0097524,GO:0005886
8,GO:0001533,GO:0005886
9,GO:0042383,GO:0005886
10,GO:0120001,GO:0005886
11,GO:0003843,GO:0035251
12,GO:0140752,GO:0003843
13,GO:0140753,GO:0003843
14,GO:0140752,GO:0003843
15,GO:0140753,GO:0003843
16,GO:0006075,GO:0006074
17,GO:0006075,GO:0051274
18,GO:0034411,GO:0006075
19,GO:0034411,GO:0006075
20,GO:0071555,GO:0071554
21,GO:0071555,GO:0045229
22,GO:0070726,GO:0071555
23,GO:0031504,GO:0071555
24,GO:0042545,GO:0071555
25,GO:0071433,GO:0071555
26,GO:0031505,GO:0071555
27,GO:0070871,GO:0071555
28,GO:0044277,GO:0071555
29,GO:0009664,GO:0071555
30,GO:0070726,GO:0071555
31,GO:0031504,GO:0071555
32,GO:0042545,GO:0071555
33,GO:0071433,GO:0071555
34,GO:0031505,GO:0071555
35,GO:0070871,GO:0071555
36,GO:0044277,GO:0071555
37,GO:0009664,GO:0071555
38,GO:0008360,GO:0022604
39,GO:0008360,GO:0065008
40,GO:0061389,GO:0008360
41,GO:2000769,GO:0008360
42,GO:0016476,GO:0008360
43,GO:0071963,GO:0008360
44,GO:0061389,GO:0008360
45,GO:2000769,GO:0008360
46,GO:0016476,GO:0008360
47,GO:0071963,GO:0008360
